image_page,level,chinese,english,code,confidence,malignant_primary,malignant_secondary,in_situ,benign,uncertain_or_unspecified
41,5,伴有小叶性(M8522/3),with lobular (M8522/3),,0.975085973739624,,,,,
41,6,特指部位-见肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9550175666809082,,,,,
41,6,未特指部位,unspecified site,C50.9,0.9558743834495544,,,,,
41,5,特指部位-见 肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9445786476135254,,,,,
41,5,未特指部位(女性),unspecified site (female),C50.9,0.9739991426467896,,,,,
42,4,小管性(M8521/3),ductular (M8521/3),,0.9709053635597229,,,,,
42,5,特指部位-见肿瘤，恶性,"—specified site - see Neoplasm, malignant",,0.9838947057723999,,,,,
42,5,未特指部位,unspecified site,C50.9,0.9795196056365967,,,,,
42,4,小叶性(M8520/3),lobular (M8520/3),,0.9743900299072266,,,,,
42,5,特指部位-见肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9729436635971069,,,,,
42,5,未特指部位,unspecified site,C50.9,0.9595007300376892,,,,,
42,3,巨细胞(M8031/3),giant cell (M8031/3),,0.9817015528678894,,,,,
42,4,伴有梭形细胞(M8030/3),with spindle cell (M8030/3),,0.9773316383361816,,,,,
42,3,颗粒细胞(M8320/3),granular cell (M8320/3),,0.9890820384025574,,,,,
42,3,淋巴上皮(M8082/3),lymphoepithelial (M8082/3),,0.9814290404319763,,,,,
42,3,鳞状(细胞)(M8070/3),squamous (cell) (M8070/3),,0.9922347664833069,,,,,
42,4,伴有腺癌，联合性(M8560/3),"with adenocarcinoma, mixed (M8560/3)",,0.9774572253227234,,,,,
42,4,大细胞，非角化的(M8072/3),"large cell, nonkeratinizing (M8072/3)",,0.9899005889892578,,,,,
42,4,非角化的(大细胞)(M8072/3),nonkeratinizing (large cell) (M8072/3),,0.9826348423957825,,,,,
42,4,假腺样(M8075/3),pseudoglandular (M8075/3),,0.9802176356315613,,,,,
42,4,角化的，大细胞(M8071/3),"keratinizing, large cell (M8071/3)",,0.9656273722648621,,,,,
42,4,乳头状(M8052/3),papillary (M8052/3),,0.9685134887695312,,,,,
42,4,梭形细胞(M8074/3),spindle cell (M8074/3),,0.9729365706443787,,,,,
42,3,鳞状(细胞)(M8070/3),squamous (cell) (M8070/3),,0.9649388194084167,,,,,
42,4,微小侵袭性(M8076/3),microinvasive (M8076/3),,0.9929428100585938,,,,,
42,5,特指部位-见肿瘤，恶性,"specified site - see Neoplasm, malignant",,0.9826803803443909,,,,,
42,5,未特指部位,unspecified site,C53.9,0.9912148714065552,,,,,
42,4,腺样(M8075/3),adenoid (M8075/3),,0.9742746949195862,,,,,
42,4,小细胞，非角化的(M8073/3),"small cell, nonkeratinizing (M8073/3)",,0.9844797849655151,,,,,
42,4,疣状(M8051/3),verrucous (M8051/3),,0.9908946752548218,,,,,
